Break_ID,Trade_ID,Settlement_ID,Break_Type,Break_Reason,Detected_Date,Status,Assigned_To,Severity
B30000,T9012,S20012,Quantity_Mismatch,AutoDetected,2025-06-19 02:04:27,Open,StaticDataTeam,Medium
B30001,T9046,S20046,Quantity_Mismatch,IntegrationError,2025-04-22 00:06:45,Resolved,StaticDataTeam,Low
B30002,T9041,S20041,Cash_Break,IntegrationError,2025-02-15 14:12:40,Resolved,GPM_Analyst1,High
B30003,T9047,S20047,Feed_Delay,CA_Not_Applied,2025-05-03 12:50:32,Investigating,CustodyOps,Medium
B30004,T9029,S20029,Feed_Delay,StaticDataError,2025-09-15 17:38:51,Investigating,GPM_Analyst3,Medium
B30005,T9049,,Cash_Break,Insufficient_Funds,2025-04-30 19:48:35,Investigating,GPM_Analyst1,High
B30006,T9026,,Quantity_Mismatch,AutoDetected,2025-07-12 15:42:57,Resolved,GPM_Analyst3,High
B30007,T9044,,Pricing_Mismatch,ToleranceExceeded,2025-02-17 10:42:29,Open,CustodyOps,Medium
B30008,T9022,S20022,Quantity_Mismatch,CA_Not_Applied,2025-07-27 05:30:12,Resolved,CustodyOps,Low
B30009,T9023,S20023,Cash_Break,StaticDataError,2025-01-21 13:22:21,Open,GPM_Analyst2,Low
B30010,T9002,,Feed_Delay,ToleranceExceeded,2025-02-10 07:59:34,Open,GPM_Analyst1,High
B30011,T9022,,Feed_Delay,CA_Not_Applied,2025-07-26 23:30:12,Resolved,StaticDataTeam,Medium
B30012,T9038,S20038,SSI_Issue,IntegrationError,2025-07-02 02:43:15,Open,GPM_Analyst2,High
B30013,T9024,,Pricing_Mismatch,StaticDataError,2025-05-25 17:16:28,Investigating,GPM_Analyst2,Low
B30014,T9034,S20034,Quantity_Mismatch,ToleranceExceeded,2025-02-24 18:45:42,Open,CustodyOps,Medium
B30015,T9029,S20029,CA_Mismatch,AutoDetected,2025-09-14 20:38:51,Investigating,CustodyOps,Low
B30016,T9043,,Documentation_Gap,AutoDetected,2025-08-22 08:04:23,Investigating,GPM_Analyst1,Medium
B30017,T9038,S20038,Documentation_Gap,AutoDetected,2025-07-04 19:43:15,Resolved,GPM_Analyst3,High
B30018,T9031,,SSI_Issue,ToleranceExceeded,2025-01-24 09:10:51,Resolved,GPM_Analyst3,High
B30019,T9005,S20005,Quantity_Mismatch,IntegrationError,2025-06-29 17:16:01,Investigating,GPM_Analyst2,Medium
B30020,T9004,S20004,Quantity_Mismatch,AutoDetected,2025-03-24 15:21:16,Investigating,GPM_Analyst2,High
B30021,T9001,,Pricing_Mismatch,StaticDataError,2025-08-10 20:04:15,Resolved,GPM_Analyst3,High
B30022,T9016,S20016,Pricing_Mismatch,AutoDetected,2025-05-02 09:42:53,Open,StaticDataTeam,Low
B30023,T9002,S20002,Quantity_Mismatch,IntegrationError,2025-02-09 20:59:34,Investigating,GPM_Analyst2,High
B30024,T9041,S20041,Feed_Delay,AutoDetected,2025-02-15 19:12:40,Resolved,GPM_Analyst1,High
B30025,T9026,,Pricing_Mismatch,AutoDetected,2025-07-10 19:42:57,Resolved,GPM_Analyst2,High
B30026,T9028,S20028,Quantity_Mismatch,StaticDataError,2025-08-24 23:34:38,Investigating,StaticDataTeam,High
B30027,T9035,S20035,Cash_Break,SSI_Mismatch,2025-01-22 15:06:12,Resolved,GPM_Analyst1,Medium
B30028,T9034,,Feed_Delay,ToleranceExceeded,2025-02-26 18:45:42,Investigating,GPM_Analyst2,Low
B30029,T9009,,Pricing_Mismatch,IntegrationError,2025-08-31 10:16:11,Resolved,StaticDataTeam,Low
